pm2.5,pm10,so2,no2,co,dewp,wspm,label
4.0,4.0,4.0,7.0,300.0,-18.8,4.4,0.0
8.0,8.0,4.0,7.0,300.0,-18.2,4.7,0.0
7.0,7.0,5.0,10.0,300.0,-18.2,5.6,0.0
6.0,6.0,11.0,11.0,300.0,-19.4,3.1,0.0
3.0,3.0,12.0,12.0,300.0,-19.5,2.0,0.0
5.0,5.0,18.0,18.0,400.0,-19.6,3.7,0.0
3.0,3.0,18.0,32.0,500.0,-19.1,2.5,0.0
3.0,6.0,19.0,41.0,500.0,-19.1,3.8,0.0
3.0,6.0,16.0,43.0,500.0,-19.2,4.1,0.0
3.0,8.0,12.0,28.0,400.0,-19.3,2.6,0.0
3.0,6.0,9.0,12.0,400.0,-19.4,3.6,0.0
3.0,6.0,9.0,14.0,400.0,-20.5,3.7,0.0
3.0,6.0,7.0,13.0,300.0,-19.7,5.1,0.0
3.0,6.0,7.0,12.0,400.0,-19.3,4.3,0.0
6.0,9.0,7.0,11.0,400.0,-19.6,4.4,0.0
8.0,15.0,7.0,14.0,400.0,-18.6,2.8,0.0
9.0,19.0,9.0,13.0,400.0,-18.1,3.9,0.0
10.0,23.0,11.0,15.0,400.0,-18.7,2.8,1.0
11.0,20.0,8.0,20.0,500.0,-18.4,2.1,1.0
8.0,14.0,12.0,30.0,500.0,-18.4,2.8,0.0
11.0,17.0,13.0,33.0,600.0,-17.3,2.1,1.0
12.0,18.0,16.0,35.0,500.0,-16.7,0.8,1.0
15.0,19.0,21.0,57.0,700.0,-17.4,1.8,1.0
24.0,24.0,26.0,54.0,600.0,-17.4,1.4,1.0
22.0,24.0,24.0,44.0,500.0,-17.6,1.4,1.0
14.0,17.0,21.0,36.0,400.0,-17.3,1.1,1.0
13.0,13.0,20.0,37.0,400.0,-16.9,1.7,1.0
3.0,9.0,13.0,34.0,400.0,-17.6,1.4,0.0
3.0,7.0,18.0,43.0,400.0,-17.7,0.9,0.0
9.0,11.0,19.0,70.0,500.0,-17.5,2.0,0.0
4.0,10.0,28.0,46.0,500.0,-17.7,0.7,0.0
3.0,11.0,34.0,58.0,500.0,-17.0,1.2,0.0
3.0,7.0,21.0,49.0,500.0,-17.6,1.8,0.0
10.0,14.0,47.0,62.0,700.0,-16.7,1.7,1.0
11.0,19.0,36.0,60.0,600.0,-16.3,1.6,1.0
18.0,29.0,36.0,70.0,800.0,-16.8,3.1,1.0
26.0,30.0,25.0,76.0,900.0,-16.4,2.7,1.0
25.0,33.0,20.0,57.0,700.0,-16.4,1.5,1.0
26.0,35.0,22.0,54.0,700.0,-16.0,1.3,1.0
37.0,40.0,24.0,55.0,700.0,-16.5,1.2,2.0
37.0,46.0,29.0,63.0,1000.0,-15.2,2.5,2.0
44.0,58.0,45.0,77.0,1200.0,-13.6,0.4,2.0
54.0,79.0,50.0,80.0,1100.0,-12.3,0.9,2.0
61.0,86.0,50.0,97.0,1300.0,-13.8,1.2,3.0
67.0,96.0,54.0,108.0,1399.0,-14.1,1.2,3.0
74.0,103.0,72.0,107.0,1399.0,-14.2,1.3,3.0
81.0,113.0,84.0,110.0,1500.0,-13.9,1.4,3.0
93.0,120.0,87.0,107.0,1700.0,-13.4,1.3,3.0
112.0,130.0,73.0,100.0,1899.0,-13.0,1.2,3.0
109.0,132.0,80.0,101.0,2200.0,-13.2,1.2,3.0
110.0,132.0,98.0,99.0,2399.0,-12.3,1.4,3.0
105.0,129.0,88.0,100.0,2500.0,-13.2,1.2,3.0
106.0,136.0,79.0,92.0,2799.0,-11.8,0.9,3.0
101.0,135.0,64.0,87.0,2399.0,-10.9,0.8,3.0
91.0,142.0,67.0,87.0,2100.0,-11.0,0.8,3.0
79.0,116.0,83.0,91.0,2000.0,-11.1,1.5,3.0
77.0,110.0,123.0,90.0,2299.0,-13.0,2.3,3.0
83.0,119.0,135.0,90.0,2600.0,-13.8,0.4,3.0
94.0,122.0,116.0,90.0,1800.0,-13.2,1.3,3.0
96.0,117.0,89.0,93.0,1600.0,-10.8,0.9,3.0
91.0,108.0,77.0,99.0,1600.0,-13.3,1.1,3.0
98.0,134.0,50.0,81.0,1200.0,-13.5,5.9,3.0
72.0,106.0,31.0,57.0,900.0,-14.0,4.3,3.0
48.0,114.0,14.0,17.0,500.0,-12.7,2.0,2.0
28.0,100.0,12.0,17.0,400.0,-15.4,2.9,1.0
26.0,103.0,9.0,19.0,400.0,-10.1,1.7,1.0
24.0,82.0,8.0,27.0,500.0,-11.3,1.6,1.0
19.0,71.0,26.0,98.0,1300.0,-13.7,2.0,1.0
60.0,175.0,64.0,135.0,2000.0,-12.6,0.9,3.0
117.0,181.0,28.0,100.0,1100.0,-10.9,0.0,3.0
54.0,105.0,28.0,90.0,1200.0,-10.2,1.8,2.0
46.0,94.0,29.0,84.0,1200.0,-10.6,1.7,2.0
42.0,83.0,51.0,86.0,1300.0,-11.1,2.6,2.0
49.0,80.0,39.0,64.0,1000.0,-11.7,2.8,2.0
34.0,62.0,39.0,14.0,300.0,-11.8,4.3,1.0
12.0,34.0,6.0,12.0,300.0,-11.6,2.8,1.0
7.0,18.0,14.0,12.0,400.0,-11.6,1.0,0.0
10.0,24.0,18.0,45.0,400.0,-10.9,0.5,1.0
13.0,32.0,24.0,65.0,500.0,-11.4,2.3,1.0
14.0,36.0,30.0,70.0,600.0,-10.7,2.3,1.0
13.0,35.0,38.0,70.0,700.0,-12.2,3.1,1.0
15.0,32.0,26.0,36.0,500.0,-12.1,1.3,1.0
16.0,24.0,22.0,36.0,600.0,-12.4,2.1,1.0
18.0,33.0,18.0,27.0,400.0,-13.0,3.0,1.0
13.0,28.0,12.0,14.0,400.0,-13.9,2.7,1.0
3.0,12.0,7.0,12.0,300.0,-13.0,2.0,0.0
3.0,10.0,8.0,13.0,400.0,-13.1,0.7,0.0
10.0,13.0,9.0,15.0,400.0,-13.0,2.4,1.0
14.0,20.0,10.0,34.0,500.0,-13.7,2.6,1.0
20.0,33.0,14.0,40.0,500.0,-11.8,2.6,1.0
25.0,44.0,13.0,43.0,600.0,-11.3,3.4,1.0
31.0,63.0,17.0,61.0,700.0,-10.6,3.5,1.0
34.0,84.0,18.0,76.0,800.0,-10.3,3.1,1.0
40.0,85.0,40.0,76.0,800.0,-10.0,2.1,2.0
51.0,91.0,46.0,85.0,1000.0,-9.9,2.4,2.0
58.0,94.0,46.0,86.0,1100.0,-9.3,2.1,3.0
71.0,108.0,66.0,78.0,1100.0,-9.1,1.6,3.0
91.0,127.0,75.0,75.0,1200.0,-7.9,0.0,3.0
100.0,129.0,58.0,79.0,1200.0,-8.1,0.0,3.0
103.0,130.0,66.0,83.0,1399.0,-8.8,1.2,3.0
115.0,151.0,76.0,92.0,2299.0,-9.5,1.5,3.0
117.0,153.0,91.0,91.0,2399.0,-9.4,0.8,3.0
104.0,145.0,94.0,89.0,2200.0,-8.6,1.3,3.0
106.0,146.0,82.0,87.0,2299.0,-9.1,1.3,3.0
111.0,147.0,101.0,87.0,2399.0,-9.1,1.2,3.0
114.0,159.0,114.0,92.0,2899.0,-8.4,1.5,3.0
131.0,177.0,107.0,104.0,2700.0,-8.2,1.5,4.0
138.0,184.0,109.0,115.0,2299.0,-8.1,1.4,4.0
142.0,184.0,104.0,136.0,2299.0,-7.5,1.3,4.0
163.0,193.0,94.0,147.0,2200.0,-8.0,1.0,4.0
168.0,182.0,85.0,158.0,2100.0,-7.8,1.4,4.0
165.0,171.0,85.0,172.0,2200.0,-7.6,1.2,4.0
166.0,186.0,97.0,194.0,2700.0,-7.0,2.0,4.0
190.0,218.0,101.0,204.0,2799.0,-6.4,1.6,4.0
203.0,248.0,107.0,197.0,2500.0,-5.7,1.4,4.0
210.0,255.0,103.0,188.0,2200.0,-4.8,0.0,4.0
205.0,244.0,106.0,189.0,2500.0,-4.7,0.2,4.0
215.0,252.0,93.0,178.0,3100.0,-4.6,1.2,4.0
219.0,253.0,92.0,169.0,3200.0,-6.1,1.1,4.0
226.0,269.0,147.0,184.0,4400.0,-6.1,1.4,5.0
284.0,315.0,133.0,174.0,4000.0,-6.4,1.2,5.0
272.0,300.0,131.0,166.0,4000.0,-5.9,1.5,5.0
242.0,265.0,109.0,146.0,3200.0,-5.9,1.9,5.0
212.0,229.0,90.0,141.0,2600.0,-6.3,1.9,4.0
192.0,203.0,83.6808,140.4252,2600.0,-6.1,1.4,4.0
188.0,194.0,92.0,143.0,2500.0,-5.7,1.6,4.0
186.0,194.0,94.0,131.0,2600.0,-5.3,2.0,4.0
188.0,196.0,92.0,129.0,2700.0,-5.0,1.7,4.0
194.0,205.0,102.0,113.0,2500.0,-4.8,1.7,4.0
184.0,198.0,98.0,102.0,2399.0,-4.6,1.7,4.0
175.0,198.0,107.0,103.0,2600.0,-4.5,1.5,4.0
179.0,212.0,119.0,105.0,2399.0,-4.7,1.4,4.0
192.0,219.0,124.0,113.0,2299.0,-4.2,0.4,4.0
201.0,233.0,126.0,136.0,2700.0,-3.7,1.5,4.0
230.0,265.0,130.0,146.0,2799.0,-3.3,1.6,5.0
246.0,277.0,140.0,157.0,2899.0,-3.2,2.5,5.0
248.0,285.0,154.0,146.0,2799.0,-3.2,1.4,5.0
230.0,276.0,145.0,171.0,3200.0,-3.4,1.1,5.0
239.0,291.0,142.0,177.0,3500.0,-2.9,0.9,5.0
242.0,338.0,124.0,164.0,3700.0,-2.5,1.2,5.0
254.0,396.0,107.0,154.0,4200.0,-2.5,1.1,5.0
266.0,380.0,117.0,159.0,3799.0,-2.2,1.9,5.0
254.0,335.0,111.0,148.0,4099.0,-2.5,1.2,5.0
260.0,360.0,119.0,145.0,4000.0,-2.4,1.3,5.0
250.0,319.0,102.0,139.0,4000.0,-2.6,0.8,5.0
240.0,297.0,91.0,127.0,4000.0,-2.7,1.2,5.0
238.0,294.0,83.0,133.0,4000.0,-2.5,0.6,5.0
243.0,293.0,86.0,121.0,4099.0,-2.7,1.7,5.0
246.0,304.0,57.0,113.0,5000.0,-3.3,0.5,5.0
275.0,337.0,46.0,103.0,5599.0,-1.5,1.7,5.0
306.0,366.0,41.0,114.0,5700.0,-2.7,0.4,5.0
320.0,374.0,46.0,124.0,4599.0,-1.4,1.5,5.0
292.0,344.0,78.0,106.0,3700.0,-1.0,0.8,5.0
